Cam,Date,Ocp
cam16,202009011450,625743
cam17,202009011355,24814
cam18,202009011355,59151
cam19,202009011355,939134
cam20,202009011355,794539
cam21,202009011355,25130
cam22,202009011355,579136
cam23,202009011355,18977
cam24,202009011355,302010
cam25,202009011355,119118
cam26,202009011355,18132
cam27,202009011355,24942
cam28,202009011355,302625
cam29,202009011355,235699
cam30,202009011355,398
cam31,202009011355,55144
cam32,202009011355,418812
cam33,202009011355,1325404
cam34,202009011355,15272
cam35,202009011355,826722
cam36,202009011355,61226
cam37,202009011355,26544
cam38,202009011355,5755
cam39,202009011355,5842
cam40,202009011355,720475
cam41,202009011355,7227
cam42,202009011355,6020
cam43,202009011355,1201734
cam44,202009011355,19590
cam45,202009011355,514324
cam46,202009011355,32009
cam47,202009011355,1655274
cam48,202009011355,48378
cam49,202009011355,2081908
cam50,202009011355,15565
cam51,202009011355,146170
cam52,202009011355,16382
cam53,202009011355,341326
cam54,202009011355,10317
cam55,202009011355,612900
cam56,202009011355,355597
cam57,202009011355,30959
cam58,202009011355,1265686
cam59,202009011355,818401
cam60,202009011355,306972
cam61,202009011355,410000
cam62,202009011355,427173
cam64,202009011355,508015
cam2,202009011355,64059
cam3,202009011355,6001
cam4,202009011355,0
cam5,202009011355,67518
cam7,202009011355,1565337
cam8,202009011355,82930
cam9,202009011355,817941
cam10,202009011355,34167
cam11,202009011355,20964
cam12,202009011355,215750
cam13,202009011355,924027
cam14,202009011355,0
cam15,202009011355,14490
cam16,202009011450,625743
cam17,202009011355,24814
cam18,202009011355,59151
cam19,202009011355,939134
cam20,202009011355,794539
cam21,202009011355,25130
cam22,202009011355,579136
cam23,202009011355,18977
cam24,202009011355,302010
cam25,202009011355,119118
cam26,202009011355,18132
cam27,202009011355,24942
cam28,202009011355,302625
cam29,202009011355,235699
cam30,202009011355,398
cam31,202009011355,55144
cam32,202009011355,418812
cam33,202009011355,1325404
cam34,202009011355,15272
cam35,202009011355,826722
cam36,202009011355,61226
cam37,202009011355,26544
cam38,202009011355,5755
cam39,202009011355,5842
cam40,202009011355,720475
cam41,202009011355,7227
cam42,202009011355,6020
cam43,202009011355,1201734
cam44,202009011355,19590
cam45,202009011355,514324
cam46,202009011355,32009
cam47,202009011355,1655274
cam48,202009011355,48378
cam49,202009011355,2081908
cam50,202009011355,15565
cam51,202009011355,146170
cam52,202009011355,16382
cam53,202009011355,341326
cam54,202009011355,10317
cam55,202009011355,612900
cam56,202009011355,355597
cam57,202009011355,30959
cam58,202009011355,1265686
cam59,202009011355,818401
cam60,202009011355,306972
cam61,202009011355,410000
cam62,202009011355,427173
cam64,202009011355,508015
cam1,202009011355,21055
cam2,202009011355,64059
cam3,202009011355,6001
cam4,202009011355,0
cam5,202009011355,67518
cam7,202009011355,1565337
cam8,202009011355,82930
cam9,202009011355,817941
cam10,202009011355,34167
cam11,202009011355,20964
cam12,202009011355,215750
cam13,202009011355,924027
cam14,202009011355,0
cam15,202009011355,14490
cam16,202009011450,625743
cam17,202009011355,24814
cam18,202009011355,59151
cam19,202009011355,939134
cam20,202009011355,794539
cam21,202009011355,25130
cam22,202009011355,579136
cam23,202009011355,18977
cam24,202009011355,302010
cam25,202009011355,119118
cam26,202009011355,18132
cam27,202009011355,24942
cam28,202009011355,302625
cam29,202009011355,235699
cam30,202009011355,398
cam31,202009011355,55144
cam32,202009011355,418812
cam33,202009011355,1325404
cam34,202009011355,15272
cam35,202009011355,826722
cam36,202009011355,61226
cam37,202009011355,26544
cam38,202009011355,5755
cam39,202009011355,5842
cam40,202009011355,720475
cam41,202009011355,7227
cam42,202009011355,6020
cam43,202009011355,1201734
cam44,202009011355,19590
cam45,202009011355,514324
cam46,202009011355,32009
cam47,202009011355,1655274
cam48,202009011355,48378
cam49,202009011355,2081908
cam50,202009011355,15565
cam51,202009011355,146170
cam52,202009011355,16382
cam53,202009011355,341326
cam54,202009011355,10317
cam55,202009011355,612900
cam56,202009011355,355597
cam57,202009011355,30959
cam58,202009011355,1265686
cam59,202009011355,818401
cam60,202009011355,306972
cam61,202009011355,410000
cam62,202009011355,427173
cam64,202009011355,508015
cam1,202009011355,21055
cam2,202009011355,64059
cam3,202009011355,6001
cam4,202009011355,0
cam5,202009011355,67518
cam7,202009011355,1565337
cam8,202009011355,82930
cam9,202009011355,817941
cam10,202009011355,34167
cam11,202009011355,20964
cam12,202009011355,215750
cam13,202009011355,924027
cam14,202009011355,0
cam15,202009011355,14490
cam16,202009011450,625743
cam17,202009011355,24814
cam18,202009011355,59151
cam19,202009011355,939134
cam20,202009011355,794539
cam21,202009011355,25130
cam22,202009011355,579136
cam23,202009011355,18977
cam24,202009011355,302010
cam25,202009011355,119118
cam26,202009011355,18132
cam27,202009011355,24942
cam28,202009011355,302625
cam29,202009011355,235699
cam30,202009011355,398
cam31,202009011355,55144
cam32,202009011355,418812
cam33,202009011355,1325404
cam34,202009011355,15272
cam35,202009011355,826722
cam36,202009011355,61226
cam37,202009011355,26544
cam38,202009011355,5755
cam39,202009011355,5842
cam40,202009011355,720475
cam41,202009011355,7227
cam42,202009011355,6020
cam43,202009011355,1201734
cam44,202009011355,19590
cam45,202009011355,514324
cam46,202009011355,32009
cam47,202009011355,1655274
cam48,202009011355,48378
cam49,202009011355,2081908
cam50,202009011355,15565
cam51,202009011355,146170
cam52,202009011355,16382
cam53,202009011355,341326
cam54,202009011355,10317
cam55,202009011355,612900
cam56,202009011355,355597
cam57,202009011355,30959
cam58,202009011355,1265686
cam59,202009011355,818401
cam60,202009011355,306972
cam61,202009011355,410000
cam62,202009011355,427173
cam64,202009011355,508015
cam1,202009011355,24625
cam2,202009011355,64059
cam3,202009011355,6001
cam4,202009011355,0
cam5,202009011355,67518
cam6,202009011355,4278
cam7,202009011355,1565337
cam8,202009011355,82930
cam9,202009011355,817941
cam10,202009011355,34167
cam11,202009011355,20964
cam12,202009011355,215750
cam13,202009011355,924027
cam14,202009011355,0
cam15,202009011355,14490
cam16,202009011450,625743
cam17,202009011355,24814
cam18,202009011355,59151
cam19,202009011355,939134
cam20,202009011355,794539
cam21,202009011355,25130
cam22,202009011355,579136
cam23,202009011355,18977
cam24,202009011355,302010
cam25,202009011355,119118
cam26,202009011355,18132
cam27,202009011355,24942
cam28,202009011355,302625
cam29,202009011355,235699
cam30,202009011355,398
cam31,202009011355,55144
cam32,202009011355,418812
cam33,202009011355,1325404
cam34,202009011355,15272
cam35,202009011355,826722
cam36,202009011355,61226
cam37,202009011355,26544
cam38,202009011355,5755
cam39,202009011355,5842
cam40,202009011355,720475
cam41,202009011355,7227
cam42,202009011355,6020
cam43,202009011355,1201734
cam44,202009011355,19590
cam45,202009011355,514324
cam46,202009011355,32009
cam47,202009011355,1655274
cam48,202009011355,48378
cam49,202009011355,2081908
cam50,202009011355,15565
cam51,202009011355,146170
cam52,202009011355,16382
cam53,202009011355,341326
cam54,202009011355,10317
cam55,202009011355,612900
cam56,202009011355,355597
cam57,202009011355,30959
cam58,202009011355,1265686
cam59,202009011355,818401
cam60,202009011355,306972
cam61,202009011355,410000
cam62,202009011355,427173
cam64,202009011355,508015
